query_path,query_image,query_label,P@20,P@40,P@60
D:\BJTU_CV_Exp2\dataset\query\fhy-wuegad3187498.png,fhy-wuegad3187498.png,fhy,1.0,1.0,1.0
D:\BJTU_CV_Exp2\dataset\query\jx-12bn3jol13.jpg,jx-12bn3jol13.jpg,jx,0.75,0.575,0.4666666666666667
D:\BJTU_CV_Exp2\dataset\query\jx-1nl3llnk.jpg,jx-1nl3llnk.jpg,jx,0.95,0.825,0.7
D:\BJTU_CV_Exp2\dataset\query\jx-788bdc05cbd02a07b9ffd3018211af82.jpg,jx-788bdc05cbd02a07b9ffd3018211af82.jpg,jx,0.8,0.6,0.5333333333333333
D:\BJTU_CV_Exp2\dataset\query\jx-ZKHXiW1kazWtNtR.jpg,jx-ZKHXiW1kazWtNtR.jpg,jx,0.05,0.1,0.06666666666666667
D:\BJTU_CV_Exp2\dataset\query\jx-ewigbaiuf2o38.jpg,jx-ewigbaiuf2o38.jpg,jx,0.8,0.65,0.5833333333333334
D:\BJTU_CV_Exp2\dataset\query\jx-jahhradvhvjjcnh.jpg,jx-jahhradvhvjjcnh.jpg,jx,0.6,0.425,0.38333333333333336
D:\BJTU_CV_Exp2\dataset\query\jx-wqdxkv47382881.jpg,jx-wqdxkv47382881.jpg,jx,0.95,0.825,0.7333333333333333
D:\BJTU_CV_Exp2\dataset\query\kx-1vgyuhy.jpg,kx-1vgyuhy.jpg,kx,0.2,0.1,0.06666666666666667
D:\BJTU_CV_Exp2\dataset\query\kx-sklapp29080921.jpg,kx-sklapp29080921.jpg,kx,0.1,0.05,0.05
D:\BJTU_CV_Exp2\dataset\query\mh-03e1ebaa-d9ca-4cb3-b0ed-770bec526323.png,mh-03e1ebaa-d9ca-4cb3-b0ed-770bec526323.png,mh,0.45,0.275,0.31666666666666665
D:\BJTU_CV_Exp2\dataset\query\mh-4598jfgknxnvb.jpg,mh-4598jfgknxnvb.jpg,mh,1.0,1.0,0.9666666666666667
D:\BJTU_CV_Exp2\dataset\query\mh-4rft76yg.jpg,mh-4rft76yg.jpg,mh,1.0,1.0,0.9833333333333333
D:\BJTU_CV_Exp2\dataset\query\mh-71d24365e68e2edfca3a37bef1458f2.jpg,mh-71d24365e68e2edfca3a37bef1458f2.jpg,mh,1.0,0.975,0.9833333333333333
D:\BJTU_CV_Exp2\dataset\query\mh-GIQJ5dXRkyHpxv.jpg,mh-GIQJ5dXRkyHpxv.jpg,mh,0.2,0.325,0.26666666666666666
D:\BJTU_CV_Exp2\dataset\query\mh-P2R4U7W9B3E6H8L1.png,mh-P2R4U7W9B3E6H8L1.png,mh,1.0,1.0,0.9833333333333333
D:\BJTU_CV_Exp2\dataset\query\mh-cdksbfebh2345.jpg,mh-cdksbfebh2345.jpg,mh,1.0,1.0,1.0
D:\BJTU_CV_Exp2\dataset\query\mh-czd239.jpg,mh-czd239.jpg,mh,1.0,0.95,0.8666666666666667
D:\BJTU_CV_Exp2\dataset\query\mh-fsbfyiwfwf.jpg,mh-fsbfyiwfwf.jpg,mh,0.55,0.375,0.2833333333333333
D:\BJTU_CV_Exp2\dataset\query\mh-ighru832s1d5w3.jpg,mh-ighru832s1d5w3.jpg,mh,1.0,0.875,0.8333333333333334
D:\BJTU_CV_Exp2\dataset\query\mh-mandyouhereinmyheartand817.png,mh-mandyouhereinmyheartand817.png,mh,0.6,0.5,0.4
D:\BJTU_CV_Exp2\dataset\query\mh-pZ3P6dEFfm50iq8.JPG,mh-pZ3P6dEFfm50iq8.JPG,mh,1.0,1.0,0.9666666666666667
D:\BJTU_CV_Exp2\dataset\query\mh-uij29j229jd.jpg,mh-uij29j229jd.jpg,mh,1.0,1.0,1.0
D:\BJTU_CV_Exp2\dataset\query\mh-wo42eo2krhi3r3.jpg,mh-wo42eo2krhi3r3.jpg,mh,1.0,1.0,0.9666666666666667
D:\BJTU_CV_Exp2\dataset\query\nm-202405152208432.jpg,nm-202405152208432.jpg,nm,0.85,0.875,0.7666666666666667
